reference,prediction,norm_reference,norm_prediction,original_wer,original_cer,corrected_prediction,corrected_reference,llm_wer,llm_cer
खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,0.0,0.0,खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,खोज कम मांग के लिए इंजन में वेबसाइट पदोन्नति,0.0,0.0
ट्रेन लक्ष्मीबाई नगर भी नहीं पहुंचती कि लोगों का बतियाना बन्द हो जाता है,ट्रेन लक्ष्मीबाई नगर भी नहीं पहुँचती कि लोगों का बतियाना बंद हो जाता है,ट्रेन लक्ष्मीबाई नगर भी नहीं पहुंचती कि लोगों का बतियाना बन्द हो जाता है,ट्रेन लक्ष्मीबाई नगर भी नहीं पहुँचती कि लोगों का बतियाना बंद हो जाता है,0.14285714285714285,0.041666666666666664,ट्रेन लक्ष्मीबाई नगर भी नहीं पहुंचती कि लोगों का बतियाना बन्द हो जाता है,ट्रेन लक्ष्मीबाई नगर भी नहीं पहुंचती कि लोगों का बतियाना बन्द हो जाता है,0.0,0.0
नई पॉलिसी के तहत एक्सट्रा चार्ज देकर ज्यादा एफएआर भी लिया जा सकता है,नई पॉलिसी के तहत एक्स्ट्रा चार्ज देकर ज्यादा एफआईआर भी लिया जा सकता है,नई पॉलिसी के तहत एक्सट्रा चार्ज देकर ज्यादा एफएआर भी लिया जा सकता है,नई पॉलिसी के तहत एक्स्ट्रा चार्ज देकर ज्यादा एफआईआर भी लिया जा सकता है,0.14285714285714285,0.04285714285714286,नई पॉलिसी के तहत एक्सट्रा चार्ज देकर ज्यादा एफआईआर भी लिया जा सकता है,नई पॉलिसी के तहत एक्सट्रा चार्ज देकर ज्यादा एफएआर भी लिया जा सकता है,0.07142857142857142,0.028985507246376812
उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है,उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है।,उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है,उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है,0.0,0.0,उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है,उन्होंने वन मुख्यालय से प्रस्ताव पर अनुमति प्रदान करने का आग्रह किया है,0.0,0.0
उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,0.0,0.0,उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,उषा ने ऑटो चालक को बताया कि उसे भिंड जाना है,0.0,0.0
देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,0.0,0.0,देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,देश की जनता अपने आप अन्ना की टीम के सवालों का जवाब चुनावों में देगी,0.0,0.0
शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,0.0,0.0,शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,शासन द्वारा मंजूरी मिलते ही ओपन जेल का निर्माण कार्य शुरू हो गया,0.0,0.0
इसके अलावा गुजरात के अहमदाबाद में आज जगन्नाथ यात्रा निकाली जाएगी,इसके अलावा गुजरात के अहमदाबाद में आज जगन्नाथ यात्रा निकाली जाएगी,इसके अलावा गुजरात के अहमदाबाद में आज जगन्नाथ यात्रा निकाली जाएगी,इसके अलावा गुजरात के अहमदाबाद में आज जगन्नाथ यात्रा निकाली जाएगी,0.0,0.0,इसके अलावा गुजरात के अहमदाबाद में आज जगन्नाथ यात्रा निकाली जाएगी,इसके अलावा गुजरात के अहमदाबाद में आज जगन्नाथ यात्रा निकाली जाएगी,0.0,0.0
अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,0.0,0.0,अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,अभी यह साफ नहीं है कि किरण नई पार्टी बनाएंगे अथवा नहीं,0.0,0.0
लोग रो रहे थे तो कोई उन्हें ढाढस बंधा रहा था,लोग रो रहे थे तो कोई उन्हें ढांढस बंधा रहा था।,लोग रो रहे थे तो कोई उन्हें ढाढस बंधा रहा था,लोग रो रहे थे तो कोई उन्हें ढांढस बंधा रहा था,0.09090909090909091,0.022222222222222223,लोग रो रहे थे तो कोई उन्हें ढाढस बंधा रहा था,लोग रो रहे थे तो कोई उन्हें ढाढस बंधा रहा था,0.0,0.0
